"largest_carrier","lowest_fare_carrier","fare_difference"
"AA","MX","295.83"
"UA","XP","164.55"
"DL","G4","162.51"
"WN","MX","154.25"
"AA","F9","154.09"
"AA","NK","152.29"
"AA","SY","150.46"
"DL","NK","145.57"
"DL","F9","143.01"
"AA","G4","141.53"
"UA","F9","139.21"
"UA","NK","136.67"
"UA","G4","130.08"
"AS","NK","128.86"
"UA","FL","127.46"
"US","G4","115.74"
"AS","XP","111.13"
"UA","B6","108.37"
"DL","SY","105.35"
"WN","G4","100.82"
"WN","XP","100.41"
"WN","NK","97.35"
"US","AA","96.71"
"CO","B6","94.75"
"UA","VX","94.15"
"NW","F9","90.24"
"B6","AS","89.63"
"NW","US","77.54"
"AS","G4","75.45"
"AA","FL","73.77"
"WN","F9","71.69"
"UA","AS","70.24"
"DL","US","69.62"
"YX","FL","69.36"
"AS","B6","67.14"
"DL","B6","66.56"
"US","DL","65.81"
"US","WN","65.42"
"AA","VX","65.20"
"US","B6","62.11"
"AS","SY","61.97"
"US","FL","60.75"
"AA","B6","59.64"
"DL","UA","57.92"
"CO","FL","57.50"
"DL","WN","57.49"
"UA","WN","56.01"
"AS","CO","55.36"
"CO","DL","53.55"
"DL","AS","52.98"
"WN","VX","52.73"
"US","UA","52.34"
"UA","DL","51.79"
"B6","NK","50.36"
"AA","UA","49.42"
"DL","FL","49.09"
"UA","US","48.39"
"B6","CO","47.73"
"CO","WN","47.60"
"AA","DL","46.32"
"CO","AA","44.71"
"AA","NW","44.43"
"WN","U5","43.28"
"AS","UA","43.27"
"AA","CO","42.94"
"AA","WN","42.86"
"US","F9","41.23"
"AA","AS","39.90"
"DL","NW","39.68"
"DL","CO","39.30"
"B6","WN","38.13"
"DL","U5","36.97"
"DL","AA","36.96"
"NW","WN","36.38"
"UA","AA","36.25"
"CO","US","35.39"
"US","VX","34.10"
"AS","AA","33.72"
"CO","UA","32.96"
"NW","SY","32.34"
"FL","U5","31.95"
"WN","B6","29.95"
"G4","NK","29.88"
"AA","US","29.69"
"CO","F9","27.69"
"SY","UA","25.89"
"B6","AA","25.49"
"NW","AA","24.63"
"F9","NK","24.02"
"B6","FL","23.70"
"WN","NW","23.25"
"AS","WN","20.55"
"WN","DL","19.52"
"WN","UA","19.35"
"WN","CO","17.90"
"WN","FL","17.38"
"AS","DL","17.01"
"G4","F9","16.19"
"FL","DL","15.28"
"B6","DL","13.94"
"FL","NW","13.48"
"WN","AA","13.45"
"NW","CO","13.26"
"WN","US","12.81"
"WN","AS","12.47"
"MX","G4","12.17"
"FL","UA","11.76"
"B6","UA","11.44"
"F9","G4","10.30"
"FL","WN","5.48"
"B6","US","4.36"
"G4","MX","3.75"
"F9","WN","3.18"
"NK","F9","2.75"
"FL","B6","0.02"
"SY","SY","0.00"
"F9","F9","0.00"
"UA","UA","0.00"
"NK","NK","0.00"
"CO","CO","0.00"
"AA","AA","0.00"
"FL","FL","0.00"
"AS","AS","0.00"
"B6","B6","0.00"
"US","US","0.00"
"G4","G4","0.00"
"NW","NW","0.00"
"WN","WN","0.00"
"MX","MX","0.00"
"XP","XP","0.00"
"DL","DL","0.00"
