"origin_city","destination_city","avg_fare_per_mile"
"Philadelphia, PA","Pittsburgh, PA","1.355"
"Detroit, MI","Milwaukee, WI","1.241"
"Atlanta, GA (Metropolitan Area)","Nashville, TN","1.186"
"Atlanta, GA (Metropolitan Area)","Charlotte, NC","1.144"
"Atlanta, GA (Metropolitan Area)","Charleston, SC","1.115"
"Portland, OR","Seattle, WA","1.108"
"Chicago, IL","Indianapolis, IN","1.081"
"Austin, TX","Houston, TX","1.073"
"Dallas/Fort Worth, TX","Oklahoma City, OK","1.028"
"Norfolk, VA (Metropolitan Area)","Washington, DC (Metropolitan Area)","0.990"
