"year_quarter","passengers","running_total"
"2008_Q3","13790","13790"
"2008_Q4","21375","35165"
"2009_Q1","75939","111104"
"2009_Q2","8350","119454"
"2009_Q3","15800","135254"
"2009_Q4","11170","146424"
"2010_Q1","100405","246829"
"2010_Q2","1690","248519"
"2010_Q3","18280","266799"
"2010_Q4","15585","282384"
"2011_Q1","79792","362176"
"2011_Q2","6920","369096"
"2011_Q3","12055","381151"
"2011_Q4","14190","395341"
"2012_Q1","4510","399851"
"2012_Q2","4430","404281"
"2012_Q3","10020","414301"
"2012_Q4","16600","430901"
"2013_Q1","117274","548175"
"2013_Q2","16090","564265"
"2013_Q3","13600","577865"
"2013_Q4","19010","596875"
"2014_Q1","98573","695448"
"2014_Q2","7810","703258"
"2014_Q3","14925","718183"
"2014_Q4","22985","741168"
"2015_Q1","110808","851976"
"2015_Q2","8230","860206"
"2015_Q3","16440","876646"
"2015_Q4","18280","894926"
"2016_Q1","13210","908136"
"2016_Q2","4290","912426"
"2016_Q3","30440","942866"
"2016_Q4","14030","956896"
"2017_Q1","101807","1058703"
"2017_Q2","9420","1068123"
"2017_Q3","27565","1095688"
"2017_Q4","15525","1111213"
"2018_Q1","100442","1211655"
"2018_Q2","3830","1215485"
"2018_Q3","35825","1251310"
"2018_Q4","30005","1281315"
"2019_Q1","105550","1386865"
"2019_Q2","33710","1420575"
"2019_Q3","9695","1430270"
"2019_Q4","26405","1456675"
"2020_Q1","6880","1463555"
"2020_Q2","1780","1465335"
"2020_Q3","4850","1470185"
"2020_Q4","9540","1479725"
"2021_Q1","40732","1520457"
"2021_Q2","21670","1542127"
"2021_Q3","25170","1567297"
"2021_Q4","13170","1580467"
"2022_Q1","71117","1651584"
"2022_Q2","5390","1656974"
"2022_Q3","27285","1684259"
"2022_Q4","20490","1704749"
"2023_Q1","99990","1804739"
"2023_Q2","13250","1817989"
"2023_Q3","14830","1832819"
"2023_Q4","20570","1853389"
"2024_Q1","13210","1866599"
"2024_Q2","10180","1876779"
"2024_Q3","13610","1890389"
"2024_Q4","20330","1910719"
"2025_Q1","103263","2013982"
"2025_Q2","8590","2022572"
